Nombre,Email,Rol,Puesto,Area,Telefono
Juan Carlos Martinez,jmartinez@hackless.com,empleado,Ingeniero de Produccion,Operaciones,+54 9 11 2345-6789
Maria Elena Rodriguez,mrodriguez@hackless.com,empleado,Tecnica en Seguridad Industrial,HSE,+54 9 11 3456-7890
Carlos Alberto Fernandez,cfernandez@hackless.com,empleado,Supervisor de Campo,Operaciones,+54 9 11 4567-8901
Ana Sofia Gutierrez,agutierrez@hackless.com,empleado,Analista de Compliance,Legal,+54 9 11 5678-9012
Roberto Daniel Lopez,rlopez@hackless.com,empleado,Operador de Equipo,Operaciones,+54 9 11 6789-0123
Lucia Beatriz Morales,lmorales@hackless.com,empleado,Coordinadora de Documentacion,Administracion,+54 9 11 7890-1234
Miguel Angel Torres,mtorres@hackless.com,empleado,Ingeniero en HSE,HSE,+54 9 11 8901-2345
Patricia Isabel Ruiz,pruiz@hackless.com,empleado,Asistente de RRHH,Recursos Humanos,+54 9 11 9012-3456
Diego Alejandro Silva,dsilva@hackless.com,empleado,Tecnico en Mantenimiento,Mantenimiento,+54 9 11 0123-4567
Carolina Fernanda Castro,ccastro@hackless.com,empleado,Auditora Interna,Auditoria,+54 9 11 1234-5678
Eduardo Raul Vargas,evargas@hackless.com,empleado,Supervisor de Seguridad,HSE,+54 9 11 2345-6789
Valeria Soledad Herrera,vherrera@hackless.com,empleado,Analista de Procesos,Operaciones,+54 9 11 3456-7890
Fernando Gustavo Medina,fmedina@hackless.com,empleado,Coordinador de Emergencias,HSE,+54 9 11 4567-8901
Claudia Noemi Jimenez,cjimenez@hackless.com,empleado,Especialista en Documentos Tecnicos,Ingenieria,+54 9 11 5678-9012
Alejandro Manuel Ortega,aortega@hackless.com,empleado,Operador de Sala de Control,Operaciones,+54 9 11 6789-0123
